Customer_ID,Age,Gender,Income,Occupation,City,Credit_Score,Transaction_ID,Amount,Merchant_Type,Transaction_Time,Is_Fraud,Loan_ID,Loan_Amount,Tenure,EMI,Default_Status,Stock_Sentiment_Score,Stock_Return,Investment_Amount,Policy_ID,Claim_Amount,Claim_Status,Risk_Score
CUST00025,31,F,157336.09,Doctor,Boston,701,TXN000025,70.74,Electronics,2023-06-09 20:06:02,0,LOAN000025,252445.88,44,6403.61,0,-0.131,-0.0401,24671.42,POL000025,0,0,36.96
CUST00026,41,M,116215.33,Lawyer,Miami,628,TXN000026,54.03,Restaurant,2023-08-05 04:43:25,0,LOAN000026,154966.46,25,6710.62,0,1.128,0.0395,13125.04,POL000026,0,0,37.28
CUST00027,22,M,49844.66,Sales,San Francisco,595,TXN000027,27.85,Gas_Station,2024-08-07 08:21:49,0,LOAN000027,96729.12,38,2894.44,0,-0.876,-0.0448,4806.41,POL000027,0,0,28.47
CUST00028,45,M,69833.83,Teacher,Phoenix,664,TXN000028,29.23,Pharmacy,2024-06-30 15:01:56,0,LOAN000028,130226.54,19,7244.28,0,-0.806,0.0747,11543.15,POL000028,0,0,35.14
CUST00029,30,M,46350.47,Teacher,Dallas,569,TXN000029,82.78,Restaurant,2024-09-20 03:48:57,0,LOAN000029,24294.63,41,686.2,0,1.01,-0.0433,5420.17,POL000029,0,0,97.75
CUST00030,35,M,39527.51,Sales,Miami,578,TXN000030,120.91,Clothing,2024-09-10 06:39:56,0,LOAN000030,17122.06,22,842.77,0,-0.044,0.0759,5690.69,POL000030,0,0,87.43
CUST00031,30,F,39551.91,Teacher,New York,523,TXN000031,16.72,Restaurant,2023-02-18 14:16:22,0,LOAN000031,55694.9,26,2379.59,1,1.378,0.022,2675.02,POL000031,0,0,8.76
CUST00032,67,F,18201.86,Retired,New York,637,TXN000032,185.12,Online_Retail,2024-03-24 10:32:42,0,LOAN000032,27025.74,51,617.46,0,-0.672,0.0015,1269.32,POL000032,0,0,72.79
CUST00033,39,F,55744.04,Clerk,Dallas,620,TXN000033,32.53,Pharmacy,2023-03-21 00:47:44,0,LOAN000033,106054.51,21,5409.45,0,-0.055,0.0406,4483.37,POL000033,0,0,44.42
CUST00034,24,F,70142.25,Manager,Boston,586,TXN000034,338.45,Electronics,2024-09-12 23:48:14,0,LOAN000034,139522.61,51,3254.59,0,-0.922,-0.05,10057.28,POL000034,2930.97,1,99.26
CUST00035,52,F,86973.18,Engineer,San Diego,694,TXN000035,34.44,Pharmacy,2024-11-08 06:52:22,0,LOAN000035,14048.54,21,707.14,0,0.007,0.0434,7650.74,POL000035,0,0,80.37
CUST00036,21,F,28339.12,Service,San Diego,530,TXN000036,155.07,Clothing,2024-02-22 00:20:11,1,LOAN000036,52426.6,25,2317.28,0,-1.479,-0.1649,3366.59,POL000036,0,0,28.86
CUST00037,43,F,59973.7,Teacher,Miami,632,TXN000037,137.32,Online_Retail,2023-05-26 05:11:02,0,LOAN000037,31168.39,34,1018.42,0,-0.488,-0.0458,10694.01,POL000037,0,0,80.57
CUST00038,18,M,52341.63,Sales,Los Angeles,527,TXN000038,207.7,Online_Retail,2023-10-12 02:52:34,0,LOAN000038,98386.92,33,3397.7,1,-1.436,-0.0749,6884.24,POL000038,2177.6,1,97.04
CUST00039,20,M,29302.37,Student,Dallas,538,TXN000039,126.11,Clothing,2023-09-11 04:47:57,0,LOAN000039,44426.86,13,3604.48,0,0.694,-0.0488,1490.39,POL000039,0,0,42.38
CUST00040,42,M,84804.91,Manager,Seattle,633,TXN000040,95.1,Clothing,2023-06-03 01:43:50,0,LOAN000040,166770.67,29,6293.35,0,0.717,0.0036,15468.88,POL000040,0,0,89.64
CUST00041,51,M,43979.19,Clerk,Atlanta,622,TXN000041,281.79,Online_Retail,2023-12-22 09:21:29,0,LOAN000041,78375.69,8,10076.74,0,-1.73,-0.0153,3768.21,POL000041,0,0,13.96
CUST00042,42,F,111990.69,Lawyer,Dallas,654,TXN000042,171.12,Online_Retail,2023-03-30 12:16:28,0,LOAN000042,162054.45,30,5898.06,0,1.334,0.0618,15491.6,POL000042,0,0,58.72
CUST00043,38,F,51314.14,Teacher,Los Angeles,593,TXN000043,386.06,Travel,2023-07-23 18:37:18,0,LOAN000043,91577.35,24,4147.65,0,2.497,0.062,6227.32,POL000043,0,0,8.61
CUST00044,35,F,109021.2,Engineer,Atlanta,673,TXN000044,1,Online_Retail,2024-06-04 22:46:50,0,LOAN000044,65838.3,38,1922.88,0,0.046,-0.0324,12158.34,POL000044,0,0,20.78
CUST00045,18,M,27454.87,Student,Los Angeles,520,TXN000045,24.23,Grocery,2024-11-01 00:42:38,0,LOAN000045,6281.95,7,926.37,1,-0.641,0.0056,1699.75,POL000045,0,0,47.46
CUST00046,29,F,103227.8,Manager,Philadelphia,583,TXN000046,55.85,Grocery,2024-01-16 04:38:33,0,LOAN000046,31511.91,20,1693.1,1,2.824,0.0627,14453.47,POL000046,2945.99,1,86.75
CUST00047,33,F,58327.68,Teacher,Austin,646,TXN000047,214.55,Electronics,2024-02-14 21:19:15,0,LOAN000047,48603.32,27,1952.6,0,-1.319,0.0204,5057.42,POL000047,3454.73,1,98.66
CUST00048,55,F,138903.16,Lawyer,Chicago,760,TXN000048,37.72,Grocery,2024-05-11 09:50:51,0,LOAN000048,269651.8,15,18557.4,0,0.02,0.0392,18349.28,POL000048,0,0,6.61
CUST00049,45,M,59581.75,Teacher,Los Angeles,580,TXN000049,111.28,Online_Retail,2023-09-01 10:16:33,0,LOAN000049,61777.68,23,2917.38,0,0.18,0.0051,8518.1,POL000049,0,0,96.01
CUST00050,18,F,18515.84,Student,Chicago,545,TXN000050,117.66,Restaurant,2024-04-08 16:20:34,0,LOAN000050,21060.76,27,865.55,1,1.345,-0.018,2474.31,POL000050,8711.01,1,75.61
CUST00051,44,M,39957.69,Service,Phoenix,582,TXN000051,53.91,Gas_Station,2023-10-29 20:45:39,0,LOAN000051,40398.41,51,943.89,0,0.36,-0.0255,6944.16,POL000051,0,0,8.84
CUST00052,34,M,32179.96,Clerk,Austin,578,TXN000052,8.72,Online_Retail,2024-04-19 19:36:53,0,LOAN000052,43019.53,54,960.26,0,-0.499,-0.0375,1845.13,POL000052,3951.89,1,40.95
CUST00053,29,M,107313.2,Doctor,Miami,644,TXN000053,55.54,Entertainment,2023-11-01 21:33:02,0,LOAN000053,43896.18,32,1510.15,0,-0.951,-0.0348,7752.14,POL000053,0,0,91.44
CUST00054,49,M,49718.64,Clerk,Austin,610,TXN000054,35.6,Online_Retail,2024-03-31 22:33:39,0,LOAN000054,84867.17,18,5011.33,0,-0.342,0.0066,7357.94,POL000054,0,0,41.45
CUST00055,55,F,59263.69,Clerk,San Francisco,615,TXN000055,42.25,Grocery,2023-03-30 17:26:24,0,LOAN000055,41814.22,38,1243.48,0,-1.007,0.0156,3289.62,POL000055,368.21,1,55.58
CUST00056,53,M,111974.36,Lawyer,Seattle,667,TXN000056,129.32,Utilities,2023-09-28 05:47:07,0,LOAN000056,26983.67,10,2781.42,0,0.048,-0.0016,19939.77,POL000056,0,0,71.02
CUST00057,27,M,95558.99,Manager,Philadelphia,592,TXN000057,25.22,Pharmacy,2023-10-01 09:28:28,0,LOAN000057,77724.81,31,2789.28,0,-0.564,-0.0105,14338.58,POL000057,0,0,75.52
CUST00058,35,F,70373.26,Teacher,San Diego,585,TXN000058,32.35,Restaurant,2024-10-18 17:35:39,0,LOAN000058,80182.44,18,4753,0,-1.494,-0.0227,12364.73,POL000058,0,0,13.69
CUST00059,44,F,133115.13,Doctor,Austin,689,TXN000059,66.17,Restaurant,2023-12-22 15:08:23,0,LOAN000059,36859.43,32,1253,0,1.255,-0.0007,12614.82,POL000059,0,0,18.6
CUST00060,54,M,170277.7,Lawyer,San Francisco,726,TXN000060,121.97,Utilities,2024-04-24 12:28:28,0,LOAN000060,215558.79,19,11870.38,0,-0.498,-0.0562,32022.03,POL000060,0,0,38.18
CUST00061,32,F,134685.33,Doctor,Phoenix,689,TXN000061,1,Gas_Station,2023-05-15 00:08:45,0,LOAN000061,21399.76,29,796.68,0,-1.268,-0.1131,7724.84,POL000061,0,0,55.39
CUST00062,37,M,21702.89,Service,Dallas,610,TXN000062,142.12,Entertainment,2024-09-24 01:10:49,0,LOAN000062,8974.03,8,1154.81,0,-0.168,-0.0381,2442.52,POL000062,0,0,4.22
CUST00063,23,M,51780.07,Sales,San Francisco,550,TXN000063,102.66,Restaurant,2024-06-07 04:36:23,0,LOAN000063,20634.21,52,480.67,1,0.068,0.025,3973.46,POL000063,3520.18,1,82.62
CUST00064,22,M,26905.79,Student,Austin,548,TXN000064,131.18,Utilities,2024-07-02 08:34:36,0,LOAN000064,13198.53,56,289.76,0,-1.746,-0.0701,4057.76,POL000064,0,0,83.46
CUST00065,52,M,139632.51,Lawyer,San Diego,728,TXN000065,201.88,Electronics,2024-09-13 20:30:54,0,LOAN000065,198930.77,54,4161.49,0,0.332,-0.0053,19780.82,POL000065,0,0,30.39
CUST00066,60,F,56731.81,Clerk,Los Angeles,660,TXN000066,26.57,Grocery,2023-08-20 00:46:24,0,LOAN000066,84357.4,35,2663.92,0,-1.047,0.0024,8721.21,POL000066,5129.65,1,55.93
CUST00067,38,M,81673.94,Engineer,Denver,629,TXN000067,184.79,Clothing,2024-12-14 13:29:04,0,LOAN000067,51854.28,40,1467.26,0,1.711,0.0603,11372.72,POL000067,2283.07,1,46.35
CUST00068,55,F,84953.29,Lawyer,Seattle,687,TXN000068,244.86,Utilities,2024-04-22 06:49:17,0,LOAN000068,16507.05,53,357.3,0,0.524,-0.0435,14280.32,POL000068,0,0,2.68
CUST00069,45,F,83842.09,Engineer,Los Angeles,658,TXN000069,66.27,Entertainment,2024-04-03 09:32:08,0,LOAN000069,142173.01,19,7916.58,0,-0.4,0.0419,6423.38,POL000069,0,0,0.24
CUST00070,30,F,29046.36,Clerk,Boston,521,TXN000070,201.18,Utilities,2023-03-07 19:53:28,0,LOAN000070,22818.09,17,1440.72,0,-0.745,0.0415,3436.2,POL000070,0,0,26.27
CUST00071,45,F,46404.5,Sales,Miami,632,TXN000071,158.76,Utilities,2024-06-06 01:02:24,0,LOAN000071,30610.45,33,1027.46,0,-0.105,-0.0586,6350.22,POL000071,0,0,95.6
CUST00072,63,M,119036.72,Manager,Miami,741,TXN000072,13.27,Gas_Station,2023-04-15 00:58:02,0,LOAN000072,147654.28,49,3349.74,0,0.613,-0.0289,22583.88,POL000072,0,0,83.42
CUST00073,39,F,72701.96,Teacher,Atlanta,597,TXN000073,238.23,Travel,2023-09-01 06:12:19,0,LOAN000073,10825.16,34,357.19,0,-0.025,0.059,4650.67,POL000073,0,0,47.25
CUST00074,63,M,125695.85,Lawyer,Denver,722,TXN000074,110.55,Online_Retail,2023-04-02 13:06:01,0,LOAN000074,82260.62,48,1915.34,0,-0.217,-0.0117,11927.8,POL000074,0,0,65.38
CUST00075,18,F,22824.7,Service,San Francisco,549,TXN000075,77.27,Clothing,2023-07-05 07:19:04,0,LOAN000075,38874.14,22,1923.75,0,0.058,-0.1098,2403.11,POL000075,0,0,89.27
CUST00076,52,F,50090.34,Clerk,Seattle,617,TXN000076,267.2,Travel,2023-08-26 04:41:45,0,LOAN000076,42836.66,45,1098.2,0,-0.604,-0.0821,5351.7,POL000076,0,0,41.72
CUST00077,41,M,130748.92,Lawyer,Boston,714,TXN000077,286.29,Travel,2023-04-01 20:05:08,0,LOAN000077,177292.41,54,3731.62,0,-0.343,-0.0193,7864.55,POL000077,0,0,49.19
CUST00078,35,M,28536.41,Service,Houston,639,TXN000078,287.87,Travel,2023-05-23 04:11:49,0,LOAN000078,32355.71,26,1348.06,0,-2.086,-0.0999,3255.96,POL000078,0,0,68.78
CUST00079,41,M,49146.43,Sales,San Diego,577,TXN000079,62.09,Entertainment,2023-10-17 22:55:46,0,LOAN000079,87600.37,28,3458.51,0,0.974,-0.0012,6515.37,POL000079,0,0,24.48
CUST00080,18,F,30088.13,Service,Dallas,494,TXN000080,46.97,Clothing,2024-06-22 14:35:38,0,LOAN000080,28492.65,25,1268.85,1,0.299,0.0076,2826.02,POL000080,0,0,11.94
CUST00081,36,F,27819.67,Service,Atlanta,578,TXN000081,192.45,Travel,2023-04-20 19:06:51,0,LOAN000081,27363.71,16,1814.27,0,-0.773,0.0576,1952.44,POL000081,0,0,27.72
CUST00082,45,M,144031.15,Doctor,Houston,725,TXN000082,17.15,Pharmacy,2024-02-01 18:27:56,0,LOAN000082,87897.57,39,2466.36,0,1.899,0.0235,22208.58,POL000082,0,0,99.43
CUST00083,62,M,103435.9,Manager,San Diego,690,TXN000083,39.78,Pharmacy,2023-10-29 17:28:48,0,LOAN000083,158179.02,15,10986.38,0,0.087,0.0554,9429.5,POL000083,0,0,6.67
CUST00084,32,M,131152.69,Doctor,Philadelphia,708,TXN000084,1,Electronics,2023-11-21 20:32:31,0,LOAN000084,34472.68,15,2388.67,0,-1.036,0.0507,16926.29,POL000084,0,0,74.56
CUST00085,27,M,82250.16,Lawyer,Boston,566,TXN000085,473.04,Travel,2024-04-08 06:10:59,0,LOAN000085,92840.12,48,2296.25,0,0.857,0.0889,10585.34,POL000085,2698.07,1,58.11
CUST00086,32,F,83038.26,Manager,Dallas,637,TXN000086,67.73,Gas_Station,2023-04-18 02:01:57,0,LOAN000086,101346.56,11,9551.13,0,0.398,0.0222,12818.98,POL000086,0,0,56.56
CUST00087,53,M,64662.91,Sales,San Diego,622,TXN000087,134.89,Utilities,2024-03-22 11:09:40,0,LOAN000087,109766.23,41,3046.24,0,0.395,-0.0903,9169.72,POL000087,0,0,86.83
CUST00088,44,M,48122.54,Sales,San Diego,657,TXN000088,1,Electronics,2023-10-26 00:52:19,0,LOAN000088,43088.97,29,1616.62,0,-0.426,0.0145,3195.11,POL000088,0,0,62.8
CUST00089,32,M,48434.14,Clerk,Seattle,642,TXN000089,59.16,Restaurant,2023-11-25 14:00:52,0,LOAN000089,84619.22,17,5249.14,0,0.45,0.0614,7723.27,POL000089,5294.47,1,47.6
CUST00090,47,M,99827.89,Lawyer,Los Angeles,640,TXN000090,146.79,Utilities,2023-05-25 06:41:59,0,LOAN000090,177208.72,48,4259.95,0,-0.262,-0.0093,14409.84,POL000090,0,0,69.42
CUST00091,41,F,131139.59,Doctor,Philadelphia,666,TXN000091,19.79,Gas_Station,2024-01-14 00:11:25,0,LOAN000091,32786.81,60,644.28,0,0.556,0.0983,25975.92,POL000091,0,0,11.96
CUST00092,54,M,49833.76,Service,San Diego,653,TXN000092,74.24,Clothing,2024-05-08 14:36:33,0,LOAN000092,72616.8,28,2816.58,0,-1.905,0.0049,6107.1,POL000092,6736.21,1,51.25
CUST00093,29,F,35816.34,Teacher,Philadelphia,552,TXN000093,353.02,Electronics,2024-02-22 09:28:32,0,LOAN000093,64858.54,32,2286.12,0,-0.434,0.0197,5490.58,POL000093,0,0,57.53
CUST00094,35,M,53446.65,Engineer,Miami,592,TXN000094,63.3,Grocery,2024-06-22 14:31:35,0,LOAN000094,74147.41,50,1754.3,0,1.722,0.0888,10159.34,POL000094,0,0,84.53
CUST00095,34,M,36133.17,Teacher,Phoenix,574,TXN000095,42.26,Restaurant,2024-12-14 22:24:10,0,LOAN000095,11871.03,42,327.87,0,-0.767,0.0013,7152.26,POL000095,0,0,16.28
CUST00096,18,F,31312.92,Student,Philadelphia,479,TXN000096,1,Entertainment,2024-05-16 04:31:11,0,LOAN000096,13416.65,11,1284.16,0,-0.604,-0.1367,2914.55,POL000096,0,0,5.85
CUST00097,44,M,112982.8,Doctor,Chicago,670,TXN000097,73.84,Online_Retail,2024-12-23 21:24:39,0,LOAN000097,219990.31,6,37374.08,0,-0.448,-0.0339,15967.49,POL000097,0,0,31.97
CUST00098,43,F,77849.45,Sales,Miami,613,TXN000098,51.46,Entertainment,2023-05-15 13:19:50,0,LOAN000098,26449.62,11,2498.56,0,-1.215,0.0356,7588.24,POL000098,0,0,87.83
CUST00099,40,F,48793.28,Teacher,Atlanta,583,TXN000099,49.92,Gas_Station,2024-03-07 00:19:12,0,LOAN000099,96500.03,55,2117.21,0,-2.208,-0.0845,6285,POL000099,0,0,13.55
CUST00100,36,M,49771.69,Sales,Dallas,635,TXN000100,73.23,Clothing,2023-05-10 14:35:55,0,LOAN000100,99285.14,27,3998.63,0,-0.231,-0.0158,9917.19,POL000100,0,0,16.33
CUST00101,18,F,32710.55,Student,Los Angeles,501,TXN000101,376.72,Travel,2024-01-16 07:35:20,0,LOAN000101,55110.91,46,1446.72,1,0.136,-0.0495,3371.74,POL000101,0,0,27.27
CUST00102,33,F,44138.39,Service,Los Angeles,604,TXN000102,254.81,Online_Retail,2023-08-13 08:16:13,0,LOAN000102,80796.58,29,3070.37,0,-0.053,0.0881,3065.72,POL000102,0,0,41.95
CUST00103,34,F,129931.67,Manager,Boston,659,TXN000103,422.33,Travel,2023-04-19 23:19:01,0,LOAN000103,29536.42,30,1073.65,0,-0.145,0.0812,17462.19,POL000103,8914.35,1,91.21
CUST00104,27,F,99333.86,Engineer,Los Angeles,614,TXN000104,39.04,Gas_Station,2023-05-26 07:46:13,0,LOAN000104,84927.92,20,4539.06,0,0.043,-0.0433,12710.35,POL000104,0,0,35.6
CUST00105,37,F,64457.47,Teacher,Los Angeles,632,TXN000105,90.84,Clothing,2023-09-02 08:11:47,0,LOAN000105,40271.84,31,1430.47,0,1.023,0.0278,9332.06,POL000105,0,0,28.99
CUST00106,46,F,109613.53,Manager,San Diego,681,TXN000106,132.17,Utilities,2024-10-15 23:44:31,0,LOAN000106,192874.42,13,15394.51,0,-0.19,-0.0378,13578.45,POL000106,0,0,52.96
CUST00107,68,F,73963.02,Sales,Los Angeles,697,TXN000107,41.81,Pharmacy,2023-12-17 07:16:02,0,LOAN000107,94954.47,56,1950.91,0,-0.574,0.0193,5694.12,POL000107,1399.77,1,93.63
CUST00108,42,F,49826.72,Teacher,Seattle,632,TXN000108,118.63,Utilities,2024-04-26 02:38:20,0,LOAN000108,44705.94,29,1687.45,0,-0.281,0.0199,7046.04,POL000108,0,0,51.39
CUST00109,43,M,80708.76,Manager,Seattle,626,TXN000109,152.26,Utilities,2023-02-11 15:23:10,0,LOAN000109,30796.81,53,684.12,0,0.579,0.0522,12613.82,POL000109,6274.55,1,76.64
CUST00110,38,M,48966.93,Sales,Philadelphia,576,TXN000110,71.54,Restaurant,2024-11-03 06:30:13,0,LOAN000110,75453.98,43,2040.97,0,1.412,0.0448,9641.03,POL000110,0,0,18.32
CUST00111,18,F,24149.08,Student,Denver,497,TXN000111,124.91,Utilities,2023-10-06 20:58:30,0,LOAN000111,44853.62,11,4285.56,0,-0.628,0.1342,1213.18,POL000111,0,0,9.45
CUST00112,39,M,76840.45,Engineer,Chicago,600,TXN000112,22.55,Grocery,2023-01-08 10:38:53,0,LOAN000112,22428.33,59,461.04,0,0.099,-0.0494,4118.5,POL000112,4240.31,1,75.26
CUST00113,40,F,108231.36,Manager,San Francisco,746,TXN000113,232.3,Electronics,2024-01-12 09:45:54,0,LOAN000113,120970.58,40,3293.92,0,0.338,-0.0788,15565.74,POL000113,0,0,54.37
CUST00114,75,F,68486.01,Clerk,New York,725,TXN000114,57.56,Entertainment,2023-04-17 01:11:29,0,LOAN000114,60315.02,47,1429.41,0,-0.993,-0.0395,4635.74,POL000114,0,0,87.24
CUST00115,37,M,54445.95,Teacher,Austin,557,TXN000115,35,Pharmacy,2023-06-01 13:27:31,0,LOAN000115,55677.03,6,9520.77,0,0.02,-0.078,9648.39,POL000115,8702.74,1,82.68
CUST00116,44,F,125664.08,Manager,San Francisco,643,TXN000116,123.32,Utilities,2024-09-25 04:43:35,0,LOAN000116,21511.78,51,490.27,0,-1.466,-0.1039,21354.68,POL000116,0,0,68.5
CUST00117,39,F,80638.7,Lawyer,San Francisco,643,TXN000117,64.42,Gas_Station,2023-10-26 05:14:17,0,LOAN000117,30104.05,41,829.61,0,-1.769,-0.0854,16115.49,POL000117,0,0,30.11
CUST00118,22,F,24031.7,Student,Philadelphia,554,TXN000118,22.46,Gas_Station,2024-03-12 04:38:55,0,LOAN000118,34075.9,17,2141.21,1,0.367,-0.0388,2694.1,POL000118,4890.44,1,68.54
CUST00119,57,F,114360.84,Doctor,Miami,714,TXN000119,236.96,Online_Retail,2024-01-28 14:02:51,0,LOAN000119,204727.75,43,5277,0,-0.384,-0.0554,11443.96,POL000119,1437.07,1,68.83
CUST00120,51,M,56715.69,Engineer,Los Angeles,621,TXN000120,37.85,Travel,2024-05-22 06:06:09,0,LOAN000120,31273.07,16,2061.16,0,0.202,0.03,7603.44,POL000120,0,0,9.58
CUST00121,51,F,44747.61,Clerk,San Diego,612,TXN000121,58.7,Grocery,2024-01-20 10:54:24,0,LOAN000121,82764.57,17,5156.72,0,-0.018,-0.0257,6516.39,POL000121,0,0,58
CUST00122,26,F,29269.51,Service,Philadelphia,561,TXN000122,59.51,Grocery,2023-11-14 18:49:01,0,LOAN000122,4052.14,47,102.2,0,-0.976,-0.0285,1513.08,POL000122,4523.67,1,82.33
CUST00123,61,F,124406.89,Engineer,Boston,718,TXN000123,46.13,Restaurant,2024-06-15 19:40:15,0,LOAN000123,84074.73,55,1738.28,0,-0.045,0.0438,9974.7,POL000123,0,0,1.29
CUST00124,18,M,28154.06,Student,Miami,467,TXN000124,171.22,Utilities,2024-01-17 22:26:05,0,LOAN000124,29113.45,44,802.28,0,-1.233,-0.063,2597.04,POL000124,4538.14,1,51.82
CUST00125,48,F,34987.16,Clerk,Denver,594,TXN000125,202.36,Online_Retail,2023-11-19 19:54:46,0,LOAN000125,10027.78,12,872.86,0,1.391,0.0146,5896.36,POL000125,6153.57,1,37.3
CUST00126,72,M,90474.02,Sales,San Diego,678,TXN000126,39.16,Utilities,2024-07-05 14:00:47,0,LOAN000126,32148.36,16,2102.16,0,-1.356,-0.0088,8700.51,POL000126,0,0,48.49
CUST00127,25,M,124420.67,Lawyer,Boston,649,TXN000127,85.08,Restaurant,2024-10-14 08:43:04,0,LOAN000127,117193.09,41,3223.16,0,-0.196,-0.101,15677.43,POL000127,0,0,34.03
CUST00128,31,F,89871.77,Engineer,Atlanta,711,TXN000128,5.07,Pharmacy,2023-12-11 17:59:46,0,LOAN000128,54992.35,57,1105.58,0,-1.042,-0.1401,8860.33,POL000128,0,0,91.08
